,Season 1,Season 2,Season 3,Season 4
195,1.3773915953878162e-07,2.6393336352883523e-08,2.6393336352883523e-08,2.8487248906515874
196,1.3792441392675672e-07,2.639333635245064e-08,2.639333635245064e-08,4.555085775511661
197,1.3792441392807613e-07,2.639333635295567e-08,2.639333635295567e-08,2.7954823768683403
198,1.379244139254373e-07,2.639333635180132e-08,2.639333635180132e-08,339.157597582913
199,1.3792441392939555e-07,2.639333635180132e-08,2.639333635180132e-08,248.95486493595607
200,1.379244139241179e-07,2.6460302717182357e-08,2.6460302717182357e-08,13.148368928042641
201,1.379244139241179e-07,2.6460302714942967e-08,2.6460302714942967e-08,30.206162478232166
202,1.3792441393071496e-07,2.6460302714220587e-08,2.6460302714220587e-08,1.6040352421811022
203,1.379244139241179e-07,2.646030271660445e-08,2.646030271660445e-08,7.100319182905042
204,1.3792441392939555e-07,2.6460302715448636e-08,2.6460302715448636e-08,7.681060652609173
205,1.3801445875351956e-07,2.646030271487073e-08,2.646030271487073e-08,9.207062546467935
206,1.380144587574791e-07,2.6460302713714918e-08,2.6460302713714918e-08,6.077154328303609
207,1.380144587548394e-07,2.646030271660445e-08,2.646030271660445e-08,4.304593118888882
208,1.3801445875500438e-07,2.6460302716026544e-08,2.6460302716026544e-08,4.691591390994369
209,1.3801445875335457e-07,2.668621485878914e-08,2.668621485878914e-08,5.8331354785516405
210,1.3801445875615923e-07,2.6686214860530245e-08,2.6686214860530245e-08,2.1692540446060415
211,1.380144587548394e-07,2.668621486227135e-08,2.668621486227135e-08,0.24879650678949097
212,1.3801482506433603e-07,2.6686214859949876e-08,2.6686214859949876e-08,0.009599175628072448
213,4.729600725065524e-06,2.6686214861110615e-08,2.6686214861110615e-08,0.00011699996227448902
214,1.3338784278028862e-07,2.6686214859949876e-08,2.6686214859949876e-08,1.8847616887316878e-07
215,1.3338784278028862e-07,2.6686214861110615e-08,2.6686214861110615e-08,1.8847616887316878e-07
216,1.3338784277882891e-07,2.6686214859296962e-08,2.6686214859296962e-08,1.8847616886931285e-07
217,1.3338784278174835e-07,2.668621486176353e-08,2.668621486176353e-08,1.8847616887162642e-07
218,1.3338784277753137e-07,2.6712224329393577e-08,2.6712224329393577e-08,1.8847616887316878e-07
219,1.3338784278045082e-07,2.6712224329248417e-08,2.6712224329248417e-08,1.8847616887316878e-07
220,1.3338784278028862e-07,2.67122243304823e-08,2.67122243304823e-08,1.8847616886854168e-07
221,1.3338784278158616e-07,2.671222433106295e-08,2.671222433106295e-08,1.8847616887162642e-07
222,1.3338784277769357e-07,2.6712224329901648e-08,2.6712224329901648e-08,1.883289258699791e-07
223,1.335586275929079e-07,2.6712224329320997e-08,2.6712224329320997e-08,1.8832892586766644e-07
224,1.3355862759160954e-07,2.6712224329901648e-08,2.6712224329901648e-08,1.8832892586920823e-07
225,1.335586275929079e-07,2.6712224329901648e-08,2.6712224329901648e-08,1.8832892586843735e-07
226,1.335586275890128e-07,2.6712224329901648e-08,2.6712224329901648e-08,1.8832892586843735e-07
227,1.3355862759177182e-07,2.6798344306830565e-08,2.6798344306830565e-08,1.8832892586689556e-07
228,1.3355862759404396e-07,2.679834430668517e-08,2.679834430668517e-08,1.8832892586843735e-07
229,1.3355862759031117e-07,2.679834430792104e-08,2.679834430792104e-08,1.8832892587190632e-07
230,1.335586275929079e-07,2.6798344305594694e-08,2.6798344305594694e-08,1.883289258634266e-07
231,1.3355862759160954e-07,2.679834430792104e-08,2.679834430792104e-08,1.8822013010405492e-07
232,1.336965006345214e-07,2.6798344307339453e-08,2.6798344307339453e-08,1.8822013010251361e-07
233,0.05474299163529426,2.6798344307339453e-08,2.6798344307339453e-08,1.8822013010559626e-07
234,1.2065991624032957,4.528291962357843,4.528291962357843,1.882201301036696e-07
235,0.9516046540806626,34.50567626223979,34.50567626223979,1.8822013010444027e-07
236,3.6603616959081657,9.738151659907341,9.738151659907341,1.8822013010097228e-07
237,7.714033113733129,2.1973609399708307,2.1973609399708307,1.8822013010559626e-07
238,4.257951358787137,1.357543503488761,1.357543503488761,1.8822013010559626e-07
239,2.0667296908281427,1.1263822107174053,1.1263822107174053,1.8822013010097228e-07
240,80.87543352557874,0.57295811431717,0.57295811431717,1.8805474707732337e-07
241,5.569679119998134,0.5221048459580527,0.5221048459580527,1.8805474707424207e-07
242,2.4721645367296983,2.7095316205286313,2.7095316205286313,1.8805474707847885e-07
243,1.3197749320050811,2.1276125713878367,2.1276125713878367,1.8805474707154597e-07
244,0.03952723597185708,1.448273962040894,1.448273962040894,1.8805474707770853e-07
245,0.6181831984234345,4.734310395400756,4.734310395400756,1.8805474707655305e-07
246,0.5119134098378797,1.3806893443614707,1.3806893443614707,1.8805474707462724e-07
247,0.2595600014224606,1.6097093767051291,1.6097093767051291,1.8805474707424207e-07
248,2.1189028840963484,1.9193605741757236,1.9193605741757236,1.8805474707462724e-07
249,1.0173761184812318,0.47919690293783457,0.47919690293783457,1.8784890403852915e-07
250,0.015342080358176859,0.1924476723686008,0.1924476723686008,1.8784890403775925e-07
251,0.15963717540058756,0.045255030737081633,0.045255030737081633,1.878489040389141e-07
252,0.0005958285635796437,0.42513242776330723,0.42513242776330723,1.878489040366044e-07
253,0.02252780656592946,0.04430677489110082,0.04430677489110082,0.06379263997978028
