,Season 3
178,125.34249556557995
179,118.83667883374578
180,112.42512910246971
181,107.00835360305801
182,116.3928383189636
183,119.32283924028609
184,120.13788802698303
185,116.22805461174885
186,123.78180869051947
187,113.95434595983595
188,123.2548334442867
189,120.79895464862456
190,116.83786660199205
191,121.86621919573093
192,111.58195647746732
193,108.63331564114011
194,116.77499517231344
195,118.81320560680533
196,106.76224557685343
197,112.78857216946152
198,115.56064249245273
199,100.52502492798324
200,95.26869309972535
201,101.07894373852932
202,95.7976716869857
203,83.90337477392201
204,83.17644552917649
205,81.74545014197322
206,108.36236025593938
207,96.91629264708799
208,106.98804603075301
209,102.6489429805451
210,75.4466503569212
211,114.99830110183991
212,106.98607981397453
213,85.6089173641321
214,140.9727783786033
215,102.24107027414634
216,109.35801910337781
217,109.89586896347473
218,111.25819910023968
219,114.62075882957171
220,102.10754762926813
221,109.00454303067137
222,115.37202451486483
223,106.52293171038185
224,108.3210456252808
225,100.18797823158674
226,113.96961944183947
227,113.85539139632134
228,116.3858380370151
229,115.08240473813888
230,123.25988314945886
231,82.84956425516569
232,85.01236474676061
233,87.40054250103235
234,96.54087847176855
235,88.42304489276957
236,83.7773446062108
237,101.83035983969374
238,100.43234103127035
239,93.0805599504375
240,96.97927960463852
241,99.31421310753505
242,96.66812109076803
243,95.64546356551699
244,94.06375306385536
245,99.2619139191774
246,93.1467583844281
247,94.20963519564854
248,101.11265858561927
249,86.17539851318344
250,90.28595723081384
251,97.95192277815478
252,104.6076439139346
253,94.39145001064706
254,91.69391026918883
255,100.67684266766473
256,94.50828673287057
257,92.65222237952597
258,98.66723139842188
259,91.187057975725
260,97.07487362593727
261,99.65519688734356
262,90.92619880174294
263,101.03274838151482
264,101.36092347202616
265,90.66563216150954
266,93.28990267050523
267,93.66449658421583
268,95.85990341980386
269,98.18497478601134
270,99.5006408667323
271,93.57948825245022
272,90.73679718369428
273,103.1082844366923
274,98.10394978898196
275,94.87659017518878
276,99.5135808301329
277,98.70998882383235
278,101.15708384249245
279,95.11173092125996
280,90.32112234838503
281,97.81011340608916
282,93.70803436450231
283,92.47773850521071
284,99.07641861208702
285,88.28428732206989
286,97.45936612119282
287,100.97512421827119
288,89.90499841260933
